"densite1","YEsp1","YEsp2","Ytot","YEsp1sd","YEsp2sd","Ytotsd","Semprop1","QNtot","QNupttot","QNuptleg","QNfix","Yprop1","mix","sc","Mng","keysc","Ypur1","Ypur2","RY1","RY2","RYT","Ytheo","OY","LER1","LER2","LER","RYtheo1","RYtheo2","deltaRY1","deltaRY2","CE","SE"
"Fix2-nonFixSimTest 100-1.1135",0,0,536.505683664681,536.505683664681,0,2.53649140112197,2.53649140112197,0,11.6647085546583,11.6647085546583,0,0,0,"Fix2-nonFixSimTest","100-1","Lusignan30Irr","Fix2-nonFixSimTest 100-1",1504.00585781193,536.505683664681,0,1,1,536.505683664681,0,0,1,1,0,1,0,0,0,0
"Fix2-nonFixSimTest 100-1.1136",50,486.089254319073,463.564118463479,949.653372782552,34.3924148893311,169.576019208591,135.183648524433,0.125,29.7503927767518,19.3712332866958,7.31554735630401,10.3791594900561,0.521548636332805,"Fix2-nonFixSimTest","100-1","Lusignan30Irr","Fix2-nonFixSimTest 100-1",1504.00585781193,536.505683664681,0.323196383707075,0.864043257281146,1.18723964098822,657.443205433087,292.210167349465,0.739363111979938,0.705101390709649,1.44446450268959,0.125,0.875,0.198196383707075,-0.0109567427188542,191.032324229201,202.355686240528
"Fix2-nonFixSimTest 100-1.1137",100,769.979076815029,297.432100028091,1067.41117684312,38.7581029430854,9.03947260529408,30.2397750513148,0.25,32.5456809874764,13.9573755096202,7.5824795582862,18.5883054778562,0.721050911415773,"Fix2-nonFixSimTest","100-1","Lusignan30Irr","Fix2-nonFixSimTest 100-1",1504.00585781193,536.505683664681,0.511952179451758,0.554387603121811,1.06633978257357,778.380727201493,289.030449641627,0.989206245616241,0.382116475439271,1.37132272105551,0.25,0.75,0.261952179451758,-0.195612396878189,67.6835460002086,442.693807282836
"Fix2-nonFixSimTest 100-1.1138",200,991.357216847316,262.605772500014,1253.96298934733,26.4175853888863,12.0771353848821,14.3703775167137,0.5,38.021992218457,14.0907991955752,8.30861448158392,23.9311930228818,0.790487268771865,"Fix2-nonFixSimTest","100-1","Lusignan30Irr","Fix2-nonFixSimTest 100-1",1504.00585781193,536.505683664681,0.659144518419343,0.489474353200225,1.14861887161957,1020.25577073831,233.707218609024,0.971675187026801,0.257392097189492,1.22906728421629,0.5,0.5,0.159144518419343,-0.0105256467997755,151.62926141048,164.15591439709
"Fix2-nonFixSimTest 100-1.1139",300,1169.30228129516,191.282278625811,1360.58455992097,67.9166969944112,34.9411665703459,33.2042466832417,0.75,43.4341736356771,15.2593994080126,11.1229277857325,28.1747742276645,0.858946112579541,"Fix2-nonFixSimTest","100-1","Lusignan30Irr","Fix2-nonFixSimTest 100-1",1504.00585781193,536.505683664681,0.777458595138914,0.356533554908923,1.13399215004784,1262.13081427512,98.4537456458522,0.926450941590177,0.15155503412352,1.0780059757137,0.75,0.25,0.0274585951389138,0.106533554908923,136.706264319939,-76.5050373481709
"Fix2-nonFixSimTest 100-1.1140",350,1318.13471789195,103.752330671471,1421.88704856342,5.69772658986029,4.7724761762522,2.0396862658982,0.875,47.1441421108872,15.5588764428945,13.3444458825688,31.5852656679926,0.92703093720519,"Fix2-nonFixSimTest","100-1","Lusignan30Irr","Fix2-nonFixSimTest 100-1",1504.00585781193,536.505683664681,0.876415946816597,0.193385333707512,1.06980128052411,1383.06833604352,38.8187125198961,0.953051041326471,0.0750160552212989,1.02806709654777,0.875,0.125,0.00141594681659651,0.0683853337075116,71.2151592596446,-64.7928934794949
"Fix2-nonFixSimTest 100-1.1141",400,1504.00585781193,0,1504.00585781193,19.5587611319658,0,19.5587611319658,1,51.9164741660838,15.7801770645713,15.7801770645713,36.1362971015125,1,"Fix2-nonFixSimTest","100-1","Lusignan30Irr","Fix2-nonFixSimTest 100-1",1504.00585781193,536.505683664681,1,0,1,1504.00585781193,0,1,0,1,1,0,0,0,0,0
"Fix2-nonFixSimTest 101-1.1142",0,0,549.167625828753,549.167625828753,0,1.35132098788879,1.35132098788879,0,11.7634003329667,11.7634003329667,0,0,0,"Fix2-nonFixSimTest","101-1","Lusignan30Irr","Fix2-nonFixSimTest 101-1",1508.82856130793,549.167625828753,0,1,1,549.167625828753,0,0,1,1,0,1,0,0,0,0
"Fix2-nonFixSimTest 101-1.1143",50,504.913860652821,366.704683664885,871.618544317706,25.5704526938854,14.0460056212205,20.7501374401128,0.125,25.8171076800608,13.6134006566907,5.94331300232988,12.2037070233701,0.579116083848196,"Fix2-nonFixSimTest","101-1","Lusignan30Irr","Fix2-nonFixSimTest 101-1",1508.82856130793,549.167625828753,0.33463964932844,0.667746360888423,1.00238601021686,669.12524276365,202.493301554056,0.754587973048818,0.548035943391263,1.30262391644008,0.125,0.875,0.20963964932844,-0.207253639111577,2.45519996438715,400.076203179337
"Fix2-nonFixSimTest 101-1.1144",100,796.446319322828,294.364747215484,1090.81106653831,16.189711503319,7.11066067520251,14.3233875506853,0.25,33.0959640098898,13.8659099704096,7.6623129053996,19.2300540394801,0.730108269358611,"Fix2-nonFixSimTest","101-1","Lusignan30Irr","Fix2-nonFixSimTest 101-1",1508.82856130793,549.167625828753,0.527857398611561,0.536019847803767,1.06387724641533,789.082859698547,301.728206839763,1.00933166844746,0.373046687806576,1.38237835625403,0.25,0.75,0.277857398611561,-0.213980152196233,65.7295647837672,471.997284111995
"Fix2-nonFixSimTest 101-1.1145",200,1034.10731092248,245.160260308041,1279.26757123052,52.1568499247315,24.092081783194,31.2330535152601,0.5,39.1262546944995,14.1799680131067,8.92342667319438,24.9462866813928,0.808042793724606,"Fix2-nonFixSimTest","101-1","Lusignan30Irr","Fix2-nonFixSimTest 101-1",1508.82856130793,549.167625828753,0.685370980799875,0.44642154558559,1.13179252638547,1028.99809356834,250.269477662178,1.00496523500488,0.23825142324402,1.2432166582489,0.5,0.5,0.185370980799875,-0.0535784544144098,135.614258397199,229.310438529961
"Fix2-nonFixSimTest 101-1.1146",300,1210.82323654029,172.19115960486,1383.01439614515,16.3797341631001,23.3883821031887,11.2459843209267,0.75,44.303986017677,15.1095289697193,11.4418924455798,29.1944570479576,0.875561050252603,"Fix2-nonFixSimTest","101-1","Lusignan30Irr","Fix2-nonFixSimTest 101-1",1508.82856130793,549.167625828753,0.802492256304246,0.313549363630103,1.11604161993435,1268.91332743814,114.101068707014,0.954220599908801,0.135699701375589,1.08992030128439,0.75,0.25,0.052492256304246,0.0635493636301029,119.406605687027,-10.6110739600255
"Fix2-nonFixSimTest 101-1.1147",350,1331.68856361714,104.252606024746,1435.94116964188,5.58037674251167,7.88319448379706,9.27175584230902,0.875,47.4771993375102,15.4734403999867,13.3156624083496,32.0037589375235,0.927414658323792,"Fix2-nonFixSimTest","101-1","Lusignan30Irr","Fix2-nonFixSimTest 101-1",1508.82856130793,549.167625828753,0.882597664020069,0.189837494275846,1.07243515829592,1388.87094437303,47.070225268847,0.958828153913389,0.0750628461536489,1.03389100006703,0.875,0.125,0.00759766402006878,0.0648374942758463,74.5356397938177,-54.9308290499288
"Fix2-nonFixSimTest 101-1.1148",400,1508.82856130793,0,1508.82856130793,12.3625184290476,0,12.3625184290476,1,52.0265263559154,15.8307611290069,15.8307611290069,36.1957652269084,1,"Fix2-nonFixSimTest","101-1","Lusignan30Irr","Fix2-nonFixSimTest 101-1",1508.82856130793,549.167625828753,1,0,1,1508.82856130793,0,1,0,1,1,0,0,0,0,0
"Fix2-nonFixSimTest 102-1.1149",0,0,575.786581869424,575.786581869424,0,10.4782464250224,10.4782464250224,0,11.9574017503132,11.9574017503132,0,0,0,"Fix2-nonFixSimTest","102-1","Lusignan30Irr","Fix2-nonFixSimTest 102-1",1503.13318516826,575.786581869424,0,1,1,575.786581869424,0,0,1,1,0,1,0,0,0,0
"Fix2-nonFixSimTest 102-1.1150",50,483.651841686967,390.090928910603,873.74277059757,18.5684589169243,14.0900854505413,12.0065997342911,0.125,25.3918939867907,13.7091629374079,5.83266922806619,11.6827310493828,0.553481970596103,"Fix2-nonFixSimTest","102-1","Lusignan30Irr","Fix2-nonFixSimTest 102-1",1503.13318516826,575.786581869424,0.321762466865388,0.677492218808022,0.99925468567341,691.704907281779,182.037863315791,0.699217016672028,0.563955705394023,1.26317272206605,0.125,0.875,0.196762466865388,-0.197507781191978,-0.774724343102312,365.625175317788
"Fix2-nonFixSimTest 102-1.1151",100,836.129185657918,293.003450948125,1129.13263660604,44.6941319619065,27.3338665020378,17.4100728066961,0.25,34.2505428302591,14.0613183756586,8.00355478567294,20.1892244546005,0.740219284648904,"Fix2-nonFixSimTest","102-1","Lusignan30Irr","Fix2-nonFixSimTest 102-1",1503.13318516826,575.786581869424,0.556257551831192,0.508875093957247,1.06513264578844,807.623232694133,321.509403911907,1.03529610319492,0.362797204298719,1.39809330749363,0.25,0.75,0.306257551831192,-0.241124906042753,67.7027724045244,507.613263014771
"Fix2-nonFixSimTest 102-1.1152",200,1068.31321091984,244.133842797941,1312.44705371778,7.62640455631965,4.06678316286801,4.05156710924409,0.5,40.0287559191238,14.1978900760095,8.95286128005826,25.8308658431143,0.813979686088206,"Fix2-nonFixSimTest","102-1","Lusignan30Irr","Fix2-nonFixSimTest 102-1",1503.13318516826,575.786581869424,0.710724253486728,0.424000576750685,1.13472483023741,1039.45988351884,272.987170198938,1.02775799995602,0.234866055601381,1.2626240555574,0.5,0.5,0.210724253486728,-0.0759994232493155,140.041056345677,265.892227706524
"Fix2-nonFixSimTest 102-1.1153",300,1233.29326075853,173.970812259166,1407.2640730177,18.471070471575,21.1608135543297,5.24846684406454,0.75,44.9313303809775,15.2555956255399,11.5654230917126,29.6757347554375,0.87639798685866,"Fix2-nonFixSimTest","102-1","Lusignan30Irr","Fix2-nonFixSimTest 102-1",1503.13318516826,575.786581869424,0.820481693124536,0.302144610064253,1.12262630318879,1271.29653434355,135.967538674149,0.970106680417685,0.136845187223764,1.10695186764145,0.75,0.25,0.0704816931245356,0.0521446100642526,127.465122828964,17.004831690362
"Fix2-nonFixSimTest 102-1.1154",350,1391.93923711116,66.5010901802894,1458.44032729145,35.9153031687028,18.4633930720631,19.4211315962537,0.875,49.3541168458125,15.9272352342525,14.5299439950429,33.4268816115601,0.954308355238624,"Fix2-nonFixSimTest","102-1","Lusignan30Irr","Fix2-nonFixSimTest 102-1",1503.13318516826,575.786581869424,0.92602521908619,0.115496074890072,1.04152129397626,1387.21485975591,71.2254675355446,1.00340565653693,0.0479385653293758,1.05134422186631,0.875,0.125,0.0510252190861896,-0.0095039251099283,43.1597194001162,56.1314962708554
"Fix2-nonFixSimTest 102-1.1155",400,1503.13318516826,0,1503.13318516826,13.8489047445226,0,13.8489047445226,1,51.9399000873019,15.8302053593706,15.8302053593706,36.1096947279313,1,"Fix2-nonFixSimTest","102-1","Lusignan30Irr","Fix2-nonFixSimTest 102-1",1503.13318516826,575.786581869424,1,0,1,1503.13318516826,0,1,0,1,1,0,0,0,0,0
"Fix2-nonFixSimTest 103-1.1156",0,0,540.104179840495,540.104179840495,0,5.16715809449027,5.16715809449027,0,11.8452244038791,11.8452244038791,0,0,0,"Fix2-nonFixSimTest","103-1","Lusignan30Irr","Fix2-nonFixSimTest 103-1",1502.77268374382,540.104179840495,0,1,1,540.104179840495,0,0,1,1,0,1,0,0,0,0
"Fix2-nonFixSimTest 103-1.1157",50,645.133679411392,213.480204665616,858.613884077008,18.9911986480075,6.43382344327067,17.3489419286996,0.125,29.4357653725207,14.0211244869677,9.83251390749957,15.4146408855529,0.751289158055331,"Fix2-nonFixSimTest","103-1","Lusignan30Irr","Fix2-nonFixSimTest 103-1",1502.77268374382,540.104179840495,0.429295585679789,0.395257457049604,0.824553042729393,660.437742828411,198.176141248597,0.976827394280228,0.323240467377529,1.30006786165776,0.125,0.875,0.304295585679789,-0.479742542950396,-179.208264897194,754.768812291583
"Fix2-nonFixSimTest 103-1.1158",100,1008.48868059425,163.340622761124,1171.82930335538,26.2396062920027,1.44354692811332,26.8622134771665,0.25,38.742224920723,14.3879001226135,11.5227265483172,24.3543247981095,0.860570318608962,"Fix2-nonFixSimTest","103-1","Lusignan30Irr","Fix2-nonFixSimTest 103-1",1502.77268374382,540.104179840495,0.671085315499499,0.302424289346108,0.973509604845606,780.771305816326,391.057997539054,1.29165694625501,0.20920418251071,1.50086112876572,0.25,0.75,0.421085315499499,-0.447575710653892,-27.0583076840583,836.232610446212
"Fix2-nonFixSimTest 103-1.1159",200,1251.54595432545,119.141988035555,1370.68794236101,6.32722404775002,4.63393610595758,3.90738685975753,0.5,45.0241623040012,14.8410712496155,12.8096552218259,30.1830910543857,0.913077648044334,"Fix2-nonFixSimTest","103-1","Lusignan30Irr","Fix2-nonFixSimTest 103-1",1502.77268374382,540.104179840495,0.832824530192753,0.220590753566729,1.05341528375948,1021.43843179216,349.249510568853,1.22527791726963,0.116641379771187,1.34191929704082,0.5,0.5,0.332824530192753,-0.279409246433271,54.5604236770191,589.378173783657
"Fix2-nonFixSimTest 103-1.1160",300,1365.68135683421,62.9594317978651,1428.64078863208,10.6138878522723,2.65282668653319,12.415793919243,0.75,48.1209790002162,15.280862870746,14.2750506937086,32.8401161294702,0.955936259307903,"Fix2-nonFixSimTest","103-1","Lusignan30Irr","Fix2-nonFixSimTest 103-1",1502.77268374382,540.104179840495,0.908774408536574,0.11656905120871,1.02534345974528,1262.10555776799,166.535230864092,1.08206587668419,0.0498844422404793,1.13195031892468,0.75,0.25,0.158774408536574,-0.13343094879129,25.8867837784108,281.296894171351
"Fix2-nonFixSimTest 103-1.1161",350,1414.66737055908,34.3430195408751,1449.01039009996,7.83354777727124,1.84596020471322,8.1781317768727,0.875,49.4664236790234,15.5159015408452,14.9683694991623,33.9505221381782,0.976299897093534,"Fix2-nonFixSimTest","103-1","Lusignan30Irr","Fix2-nonFixSimTest 103-1",1502.77268374382,540.104179840495,0.941371496742112,0.0635859169818263,1.00495741372394,1382.4391207559,66.5712693440557,1.02331259967929,0.0248423377386027,1.0481549374179,0.875,0.125,0.0663714967421117,-0.0614140830181737,5.06369289992418,123.015152888253
"Fix2-nonFixSimTest 103-1.1162",400,1502.77268374382,0,1502.77268374382,6.32807812640672,0,6.32807812640672,1,51.9214997588152,15.8870187787422,15.8870187787422,36.034480980073,1,"Fix2-nonFixSimTest","103-1","Lusignan30Irr","Fix2-nonFixSimTest 103-1",1502.77268374382,540.104179840495,1,0,1,1502.77268374382,0,1,0,1,1,0,0,0,0,0
"Fix2-nonFixSimTest 104-1.1163",0,0,549.705295652618,549.705295652618,0,10.9167224047887,10.9167224047887,0,11.8351687009059,11.8351687009059,0,0,0,"Fix2-nonFixSimTest","104-1","Lusignan30Irr","Fix2-nonFixSimTest 104-1",1506.30334344181,549.705295652618,0,1,1,549.705295652618,0,0,1,1,0,1,0,0,0,0
"Fix2-nonFixSimTest 104-1.1164",50,637.754536678504,219.984467841795,857.739004520299,26.3251931621088,6.36118653681996,24.3359126967353,0.125,29.0808682164516,13.8700273652106,9.68394885782688,15.210840851241,0.743367465390723,"Fix2-nonFixSimTest","104-1","Lusignan30Irr","Fix2-nonFixSimTest 104-1",1506.30334344181,549.705295652618,0.423390507267463,0.400186189912226,0.82357669717969,669.280051626267,188.458952894032,0.95289637742652,0.328688218492782,1.2815845959193,0.125,0.875,0.298390507267463,-0.474813810087774,-181.363917368065,739.645740524195
"Fix2-nonFixSimTest 104-1.1165",100,987.384955032433,209.381183504995,1196.76613853743,11.6459040237098,80.5007526964851,69.1677589402373,0.25,40.4856679234257,21.3014212561479,16.8856438323505,19.1842466672777,0.827178570517583,"Fix2-nonFixSimTest","104-1","Lusignan30Irr","Fix2-nonFixSimTest 104-1",1506.30334344181,549.705295652618,0.655502066918553,0.380897155550256,1.03639922246881,788.854807599916,407.911330937514,1.25166880586878,0.265424234583846,1.51709304045263,0.25,0.75,0.405502066918553,-0.369102844449744,37.4185579260959,740.985546022832
"Fix2-nonFixSimTest 104-1.1166",200,1229.09482905691,129.939756866383,1359.03458592329,12.1517016595565,7.86909517664431,10.3002466911989,0.5,45.4451017378061,16.0985281265546,13.8449433134445,29.3465736112515,0.904388328695313,"Fix2-nonFixSimTest","104-1","Lusignan30Irr","Fix2-nonFixSimTest 104-1",1506.30334344181,549.705295652618,0.815967669731453,0.236380762372166,1.05234843210362,1028.00431954721,331.030266376076,1.19561251415584,0.126400010579348,1.32201252473519,0.5,0.5,0.315967669731453,-0.263619237627834,53.8144143240446,554.431704104069
"Fix2-nonFixSimTest 104-1.1167",300,1392.47367234212,83.3481508015602,1475.82182314368,45.232983507605,52.4219819344138,94.6765839468497,0.75,51.7086527227256,23.450331349275,21.3523140314269,28.2583213734506,0.944802998197883,"Fix2-nonFixSimTest","104-1","Lusignan30Irr","Fix2-nonFixSimTest 104-1",1506.30334344181,549.705295652618,0.924431110376748,0.151623336105227,1.07605444648197,1267.15383149451,208.667991649168,1.0988986796495,0.065775874033587,1.16467455368308,0.75,0.25,0.174431110376748,-0.0983766638947728,78.1842995042426,260.967384289851
"Fix2-nonFixSimTest 104-1.1168",350,1439.24634128864,29.9438850227453,1469.19022631138,52.2256315426259,5.69755741661603,47.2894117351768,0.875,51.4336039394002,19.6592554514396,19.1734905346693,31.7743484879606,0.979535544730731,"Fix2-nonFixSimTest","104-1","Lusignan30Irr","Fix2-nonFixSimTest 104-1",1506.30334344181,549.705295652618,0.955482405024775,0.0544726151622671,1.00995502018704,1386.72858746816,82.4616388432189,1.03787168902053,0.021593183621761,1.05946487264229,0.875,0.125,0.0804824050247748,-0.0705273848377329,10.2338037534587,144.455670179531
"Fix2-nonFixSimTest 104-1.1169",400,1506.30334344181,0,1506.30334344181,10.7518559455381,0,10.7518559455381,1,51.9288380625046,15.8442257414228,15.8442257414228,36.0846123210819,1,"Fix2-nonFixSimTest","104-1","Lusignan30Irr","Fix2-nonFixSimTest 104-1",1506.30334344181,549.705295652618,1,0,1,1506.30334344181,0,1,0,1,1,0,0,0,0,0
"Fix2-nonFixSimTest 105-1.1170",0,0,571.229178239923,571.229178239923,0,4.18585741847715,4.18585741847715,0,11.9096110940821,11.9096110940821,0,0,0,"Fix2-nonFixSimTest","105-1","Lusignan30Irr","Fix2-nonFixSimTest 105-1",1501.02320185034,571.229178239923,0,1,1,571.229178239923,0,0,1,1,0,1,0,0,0,0
"Fix2-nonFixSimTest 105-1.1171",50,679.379086908367,223.696877516334,903.075964424701,27.1357599918077,3.59266594841147,24.4190575794941,0.125,30.3456731306936,14.0693878877471,9.86386421622427,16.2762852429464,0.752124380014216,"Fix2-nonFixSimTest","105-1","Lusignan30Irr","Fix2-nonFixSimTest 105-1",1501.02320185034,571.229178239923,0.452610649902602,0.391606181962888,0.84421683186549,687.453431191225,215.622533233476,0.988254703640264,0.32539931778173,1.31365402142199,0.125,0.875,0.327610649902602,-0.483393818037112,-161.41102047237,754.067107411693
"Fix2-nonFixSimTest 105-1.1172",100,1025.09804259413,166.470674541228,1191.56871713535,4.27476571105905,8.23261738475954,9.70607986782707,0.25,40.119038686106,15.6243942851397,12.4954002119725,24.4946444009663,0.860320556534546,"Fix2-nonFixSimTest","105-1","Lusignan30Irr","Fix2-nonFixSimTest 105-1",1501.02320185034,571.229178239923,0.682932842963701,0.291425369856209,0.97435821281991,803.677684142527,387.891032992823,1.2755089046523,0.207136116662044,1.48264502131433,0.25,0.75,0.432932842963701,-0.458574630143791,-26.5681272568545,828.91832049937
"Fix2-nonFixSimTest 105-1.1173",200,1264.36312410905,120.912936616279,1385.27606072533,35.219443372123,7.30982867919814,30.1200411219135,0.5,45.4325242644429,14.9077611840091,12.9369962632817,30.5247630804338,0.91264039431819,"Fix2-nonFixSimTest","105-1","Lusignan30Irr","Fix2-nonFixSimTest 105-1",1501.02320185034,571.229178239923,0.842334164155787,0.211671499325082,1.05400566348087,1036.12619004513,349.149870680198,1.22027908980274,0.116697114480826,1.33697620428356,0.5,0.5,0.342334164155787,-0.288328500674918,55.9566823432927,586.386376673809
"Fix2-nonFixSimTest 105-1.1174",300,1387.70896116285,59.8579952102549,1447.5669563731,15.6023911682321,2.88358620969914,13.3930870671383,0.75,48.7731709689166,15.4106166589128,14.4475113193808,33.3625543100038,0.958637935719292,"Fix2-nonFixSimTest","105-1","Lusignan30Irr","Fix2-nonFixSimTest 105-1",1501.02320185034,571.229178239923,0.924508668121982,0.104788056161084,1.02929672428307,1268.57469594774,178.992260425364,1.09391190412017,0.0471852350527422,1.14109713917291,0.75,0.25,0.174508668121982,-0.145211943838916,30.3551033122153,297.274314226308
"Fix2-nonFixSimTest 105-1.1175",350,1453.56452352842,20.0832181744265,1473.64774170284,1.02675018478962,2.67676635713452,1.73842237234729,0.875,50.4423756139076,15.6407786776588,15.3277839129926,34.8015969362488,0.98637315301731,"Fix2-nonFixSimTest","105-1","Lusignan30Irr","Fix2-nonFixSimTest 105-1",1501.02320185034,571.229178239923,0.968382448543489,0.0351578997352816,1.00354034827877,1384.79894889904,88.8487928038021,1.04965744282522,0.0145026237854913,1.06416006661071,0.875,0.125,0.0933824485434891,-0.0898421002647184,3.6682475735155,170.361090460586
"Fix2-nonFixSimTest 105-1.1176",400,1501.02320185034,0,1501.02320185034,23.0480028941299,0,23.0480028941299,1,51.7982568525508,15.8224717318189,15.8224717318189,35.9757851207319,1,"Fix2-nonFixSimTest","105-1","Lusignan30Irr","Fix2-nonFixSimTest 105-1",1501.02320185034,571.229178239923,1,0,1,1501.02320185034,0,1,0,1,1,0,0,0,0,0
"Fix2-nonFixSimTest 106-1.1177",0,0,539.835502307171,539.835502307171,0,1.36607440521725,1.36607440521725,0,11.6220032553079,11.6220032553079,0,0,0,"Fix2-nonFixSimTest","106-1","Lusignan30Irr","Fix2-nonFixSimTest 106-1",1494.79258963907,539.835502307171,0,1,1,539.835502307171,0,0,1,1,0,1,0,0,0,0
"Fix2-nonFixSimTest 106-1.1178",50,96.8254240936497,554.340450298074,651.165874391724,26.6454502716864,26.3139291230618,26.9716870172439,0.125,15.2081453325309,12.8512315627576,0.391161935093586,2.35691376977333,0.148264308314838,"Fix2-nonFixSimTest","106-1","Lusignan30Irr","Fix2-nonFixSimTest 106-1",1494.79258963907,539.835502307171,0.0647751566102084,1.02686919983756,1.09164435644777,659.205138223658,-8.03926383193448,0.146882083405118,0.840922526471562,0.98780460987668,0.125,0.875,-0.0602248433897916,0.151869199837564,93.2310910484858,-202.540709760841
"Fix2-nonFixSimTest 106-1.1179",100,201.113192485045,548.066809577829,749.180002062874,35.2382111978209,13.8883132094158,24.698155863386,0.25,18.0078573933481,13.1142908368295,0.694814757144881,4.89356655651869,0.267669048171411,"Fix2-nonFixSimTest","106-1","Lusignan30Irr","Fix2-nonFixSimTest 106-1",1494.79258963907,539.835502307171,0.134542540469515,1.01524780648082,1.14979034695034,778.574774140146,-29.3947720772718,0.258309412486621,0.703935996620378,0.962245409106999,0.25,0.75,-0.115457459530485,0.265247806480823,152.383823903766,-363.557191962075
"Fix2-nonFixSimTest 106-1.1180",200,336.651530430681,553.613583817921,890.265114248602,28.0326145083616,22.1132201033889,8.1548319391437,0.5,21.8958740769692,13.71020839645,1.03008646501893,8.18566568051922,0.37801668680792,"Fix2-nonFixSimTest","106-1","Lusignan30Irr","Fix2-nonFixSimTest 106-1",1494.79258963907,539.835502307171,0.225216215790826,1.02552274063463,1.25073895642545,1017.31404597312,-127.048931724519,0.330921932871431,0.544191428408282,0.875113361279713,0.5,0.5,-0.274783784209174,0.525522740634628,255.080262244257,-764.258387937551
"Fix2-nonFixSimTest 106-1.1181",300,538.760472966799,545.722047327646,1084.48252029444,48.3644929335782,23.8033797635643,25.871392801315,0.75,28.4019277787123,15.3956001821038,2.3212407247609,13.0063275966086,0.496280556470519,"Fix2-nonFixSimTest","106-1","Lusignan30Irr","Fix2-nonFixSimTest 106-1",1494.79258963907,539.835502307171,0.360424902224654,1.01090433103291,1.37132923325756,1256.0533178061,-171.570797511655,0.428931212814941,0.434473632282457,0.863404845097394,0.75,0.25,-0.389575097775346,0.760904331032911,377.75844467335,-1098.65848437
"Fix2-nonFixSimTest 106-1.1182",350,789.741877661293,447.301962984237,1237.04384064553,27.0388116711338,21.5506589586488,5.7595683961068,0.875,35.2112684114811,16.1553176123776,4.8830933852981,19.0559507991035,0.638354406969289,"Fix2-nonFixSimTest","106-1","Lusignan30Irr","Fix2-nonFixSimTest 106-1",1494.79258963907,539.835502307171,0.528328734792552,0.828589377824429,1.35691811261698,1375.42295372258,-138.379113077053,0.574181109544418,0.325210482908995,0.899391592453413,0.875,0.125,-0.346671265207448,0.703589377824429,363.097809227471,-1002.95384460905
"Fix2-nonFixSimTest 106-1.1183",400,1494.79258963907,0,1494.79258963907,11.5982114626068,0,11.5982114626068,1,51.632093630815,15.7415694032928,15.7415694032928,35.8905242275222,1,"Fix2-nonFixSimTest","106-1","Lusignan30Irr","Fix2-nonFixSimTest 106-1",1494.79258963907,539.835502307171,1,0,1,1494.79258963907,0,1,0,1,1,0,0,0,0,0
"Fix2-nonFixSimTest 107-1.1184",0,0,553.696148314196,553.696148314196,0,7.3568365572293,7.3568365572293,0,11.7601139007042,11.7601139007042,0,0,0,"Fix2-nonFixSimTest","107-1","Lusignan30Irr","Fix2-nonFixSimTest 107-1",1501.76437462975,553.696148314196,0,1,1,553.696148314196,0,0,1,1,0,1,0,0,0,0
"Fix2-nonFixSimTest 107-1.1185",50,105.521268930629,554.284445732062,659.805714662691,19.9529050088918,2.87455079408979,17.9580784786755,0.125,14.8467225830198,12.2778925743284,0.364152344438677,2.56883000869141,0.159455810346862,"Fix2-nonFixSimTest","107-1","Lusignan30Irr","Fix2-nonFixSimTest 107-1",1501.76437462975,553.696148314196,0.070264863591963,1.00106249143986,1.07132735503182,672.20467660364,-12.3989619409492,0.156977885759115,0.824576896032056,0.981554781791171,0.125,0.875,-0.054735136408037,0.126062491439858,73.3052812369572,-171.408486355813
"Fix2-nonFixSimTest 107-1.1186",100,223.357456651961,570.159283433445,793.516740085406,15.1503206718543,20.207574019074,35.3236632236772,0.25,18.6859075790162,13.2466786366777,0.689636344746985,5.43922894233852,0.281284981384402,"Fix2-nonFixSimTest","107-1","Lusignan30Irr","Fix2-nonFixSimTest 107-1",1501.76437462975,553.696148314196,0.148730027443239,1.02973315810372,1.17846318554696,790.713204893084,2.80353519232153,0.282475941048894,0.721069636759814,1.00354557780871,0.25,0.75,-0.101269972556761,0.279733158103724,183.412016345301,-361.21696230596
"Fix2-nonFixSimTest 107-1.1187",200,352.853473562781,573.542595684884,926.396069247665,23.8772130607688,15.9480925907657,13.7826272110501,0.5,22.5398320250005,13.9605243706091,1.04052211607613,8.57930765439143,0.380746941016472,"Fix2-nonFixSimTest","107-1","Lusignan30Irr","Fix2-nonFixSimTest 107-1",1501.76437462975,553.696148314196,0.23495927824881,1.0358435713001,1.2708028495489,1027.73026147197,-101.334192224308,0.343332766184587,0.558067245060415,0.901400011245002,0.5,0.5,-0.26504072175119,0.535843571300095,278.312283374251,-759.292951197119
